CaseID,Prefix length,Groud truth,Predicted,Confidence,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
200865,2,¦,¤,52.0,0.0,0.0,0.0,610546,7149.224951299034,,603396.775048701,603396.775048701
200871,2,¦,¤,63.0,0.0,0.0,0.0,96,9606.309226751913,,9510.309226751913,9510.309226751913
200874,2,¤,¤,55.0,1.0,1.0,1.0,157873,7502.898019104404,,150370.1019808956,150370.1019808956
200877,2,¤,¤,46.0,1.0,1.0,1.0,25,7117.947974264328,,7092.947974264328,7092.947974264328
200880,2,¤,¤,63.0,1.0,1.0,1.0,17456,9611.529070861634,,7844.470929138366,7844.470929138366
200883,2,¦,¦,95.0,1.0,1.0,1.0,608112,373931.8181889153,,234180.18181108468,234180.18181108468
200886,2,¦,¤,46.0,0.0,0.0,0.0,608074,7117.94405913655,,600956.0559408634,600956.0559408634
200895,2,¢,¤,44.0,0.0,0.0,0.0,455,2019.4052897017202,,1564.4052897017202,1564.4052897017202
200907,2,¤,¤,76.0,1.0,1.0,1.0,7811,5273.768143384738,,2537.2318566152617,2537.2318566152617
200919,2,¦,¤,78.0,0.0,0.0,0.0,64,7175.746026865687,,7111.746026865687,7111.746026865687
200922,2,¦,¤,78.0,0.0,0.0,0.0,50,7175.795944744853,,7125.795944744853,7125.795944744853
200925,2,¦,¦,78.0,1.0,1.0,1.0,89553,129262.25805407675,,39709.25805407675,39709.25805407675
200931,2,¦,¤,78.0,0.0,0.0,0.0,188,7175.790072053187,,6987.790072053187,6987.790072053187
200937,2,¤,¤,78.0,1.0,1.0,1.0,16818,7175.772453978187,,9642.227546021813,9642.227546021813
200952,2,¦,¤,74.0,0.0,0.0,0.0,2510,13608.530979508152,,11098.530979508152,11098.530979508152
200958,2,¤,¤,46.0,1.0,1.0,1.0,18403,9356.480029342323,,9046.519970657677,9046.519970657677
200970,2,¦,¦,95.0,1.0,1.0,1.0,57,338693.4757173782,,338636.4757173782,338636.4757173782
200973,2,¦,¤,78.0,0.0,0.0,0.0,243774,7175.639339633743,,236598.36066036625,236598.36066036625
200976,2,¦,¤,56.0,0.0,0.0,0.0,608487,9356.6336981076,,599130.3663018924,599130.3663018924
200979,2,¤,¤,43.0,1.0,1.0,1.0,18167,1843.3517813545902,,16323.64821864541,16323.64821864541
200982,2,¤,¤,43.0,1.0,1.0,1.0,16895,1852.54058624903,,15042.45941375097,15042.45941375097
200991,2,£,¤,47.0,0.0,0.0,0.0,62057,2404.3709950529073,,59652.62900494709,59652.62900494709
201000,2,¦,¤,78.0,0.0,0.0,0.0,608071,7174.974746693465,,600896.0252533065,600896.0252533065
201003,2,¤,¤,78.0,1.0,1.0,1.0,15460,7175.575718807353,,8284.424281192647,8284.424281192647
201006,2,¤,¤,47.0,1.0,1.0,1.0,16330,9356.611186122878,,6973.388813877122,6973.388813877122
201009,2,¤,¤,78.0,1.0,1.0,1.0,16359,7175.59920957402,,9183.40079042598,9183.40079042598
201015,2,¦,¤,78.0,0.0,0.0,0.0,661844,7175.550270476798,,654668.4497295232,654668.4497295232
201021,2,¦,¤,74.0,0.0,0.0,0.0,82,11423.796695224573,,11341.796695224573,11341.796695224573
201027,2,¤,¤,78.0,1.0,1.0,1.0,16873,7175.525800928187,,9697.474199071814,9697.474199071814
201030,2,¤,¤,78.0,1.0,1.0,1.0,16787,7175.527758492076,,9611.472241507923,9611.472241507923
201036,2,¦,¤,78.0,0.0,0.0,0.0,2699,7175.490564778187,,4476.490564778187,4476.490564778187
201039,2,¤,¤,78.0,1.0,1.0,1.0,16965,7175.4249863879095,,9789.575013612091,9789.575013612091
201042,2,¦,¤,46.0,0.0,0.0,0.0,608604,9356.286230517322,,599247.7137694827,599247.7137694827
201054,2,¤,¤,74.0,1.0,1.0,1.0,65178,13601.742147941488,,51576.25785205851,51576.25785205851
