CaseID,Prefix length,Groud truth,Predicted,Confidence,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
3087,2,§,§,73.0,1.0,1.0,1.0,256462,52525.780406818965,,203936.21959318104,203936.21959318104
3088,2,©,©,82.0,1.0,1.0,1.0,14,15714.573809254465,,15700.573809254465,15700.573809254465
3089,2,ª,§,70.0,0.0,0.0,0.0,355698,44910.9758124951,,310787.0241875049,310787.0241875049
3090,2,§,§,76.0,1.0,1.0,1.0,1800,29212.369436384575,,27412.369436384575,27412.369436384575
3091,2,§,§,78.0,1.0,1.0,1.0,511775,20244.132774195008,,491530.867225805,491530.867225805
3092,2,§,§,78.0,1.0,1.0,1.0,8322,20985.923051825055,,12663.923051825055,12663.923051825055
3093,2,§,§,76.0,1.0,1.0,1.0,63707,25504.998919973626,,38202.00108002637,38202.00108002637
3094,2,§,§,77.0,1.0,1.0,1.0,1200770,29016.6996297365,,1171753.3003702634,1171753.3003702634
3095,2,§,§,77.0,1.0,1.0,1.0,355,26443.430156075676,,26088.430156075676,26088.430156075676
3096,2,§,§,73.0,1.0,1.0,1.0,2073582,32789.36989192674,,2040792.6301080734,2040792.6301080734
3098,2,§,§,77.0,1.0,1.0,1.0,1834,24960.281747662804,,23126.281747662804,23126.281747662804
3099,2,ª,§,72.0,0.0,0.0,0.0,47,33315.53617866879,,33268.53617866879,33268.53617866879
3100,2,ª,§,77.0,0.0,0.0,0.0,6931,24095.466334123605,,17164.466334123605,17164.466334123605
3101,2,§,§,76.0,1.0,1.0,1.0,3060,33824.90688176333,,30764.90688176333,30764.90688176333
3102,2,ª,§,74.0,0.0,0.0,0.0,3359,37459.97844491314,,34100.97844491314,34100.97844491314
3104,2,§,§,78.0,1.0,1.0,1.0,603250,19181.048387152106,,584068.9516128479,584068.9516128479
3105,2,ª,§,78.0,0.0,0.0,0.0,182513,18626.492409712435,,163886.50759028757,163886.50759028757
3106,2,§,§,77.0,1.0,1.0,1.0,1468099,28064.521409563673,,1440034.4785904363,1440034.4785904363
3107,2,§,§,78.0,1.0,1.0,1.0,101552,19330.67805441909,,82221.32194558092,82221.32194558092
3109,2,§,§,76.0,1.0,1.0,1.0,9496,23693.915483688463,,14197.915483688463,14197.915483688463
3110,2,ª,§,72.0,0.0,0.0,0.0,497858,30533.123345385175,,467324.8766546148,467324.8766546148
3111,2,§,§,77.0,1.0,1.0,1.0,422936,23238.093275015042,,399697.90672498493,399697.90672498493
3114,2,©,§,77.0,0.0,0.0,0.0,432095,29392.786816490465,,402702.21318350954,402702.21318350954
3115,2,ª,§,76.0,0.0,0.0,0.0,1492131,31967.87287835269,,1460163.1271216474,1460163.1271216474
3116,2,§,§,78.0,1.0,1.0,1.0,15,24744.084180050326,,24729.084180050326,24729.084180050326
3117,2,§,§,75.0,1.0,1.0,1.0,265,28200.193519387052,,27935.193519387052,27935.193519387052
3119,2,¢,©,83.0,0.0,0.0,0.0,0,24269.176795160667,,24269.176795160667,24269.176795160667
3120,2,§,§,77.0,1.0,1.0,1.0,13,27546.756057531536,,27533.756057531536,27533.756057531536
3122,2,ª,§,74.0,0.0,0.0,0.0,491887,38018.01674021985,,453868.98325978016,453868.98325978016
3123,2,§,§,74.0,1.0,1.0,1.0,19877,34722.860886990304,,14845.860886990304,14845.860886990304
3124,2,§,§,78.0,1.0,1.0,1.0,6364,20728.01938484832,,14364.019384848321,14364.019384848321
3125,2,§,§,74.0,1.0,1.0,1.0,191661,30362.74434367939,,161298.2556563206,161298.2556563206
3127,2,§,§,79.0,1.0,1.0,1.0,1443966,29542.68991485351,,1414423.3100851465,1414423.3100851465
3129,2,§,§,76.0,1.0,1.0,1.0,1821440,26720.720716340158,,1794719.2792836598,1794719.2792836598
3130,2,©,©,84.0,1.0,1.0,1.0,283515,17644.948632688818,,265870.05136731116,265870.05136731116
3131,2,ª,§,78.0,0.0,0.0,0.0,65713,20897.95366816224,,44815.04633183776,44815.04633183776
3132,2,§,§,78.0,1.0,1.0,1.0,84,19297.170173607334,,19213.170173607334,19213.170173607334
3133,2,§,§,76.0,1.0,1.0,1.0,250346,32415.168436869724,,217930.83156313028,217930.83156313028
3134,2,§,§,76.0,1.0,1.0,1.0,256137,24129.58236340763,,232007.41763659238,232007.41763659238
3135,2,£,§,79.0,0.0,0.0,0.0,1910237,17637.558135879848,,1892599.44186412,1892599.44186412
3136,2,§,§,79.0,1.0,1.0,1.0,326315,35645.288546757554,,290669.71145324246,290669.71145324246
3137,2,¢,©,88.0,0.0,0.0,0.0,2,22416.91055005715,,22414.91055005715,22414.91055005715
3138,2,ª,§,68.0,0.0,0.0,0.0,237438,42142.81596795427,,195295.1840320457,195295.1840320457
3140,2,§,§,77.0,1.0,1.0,1.0,115,22440.013906230975,,22325.013906230975,22325.013906230975
3141,2,§,§,72.0,1.0,1.0,1.0,1023148,38475.133817991846,,984672.8661820082,984672.8661820082
3143,2,ª,§,72.0,0.0,0.0,0.0,172828,39057.81862657772,,133770.18137342227,133770.18137342227
3144,2,§,§,78.0,1.0,1.0,1.0,697,33469.95246155988,,32772.95246155988,32772.95246155988
3146,2,§,§,79.0,1.0,1.0,1.0,200693,17305.62535681002,,183387.37464318998,183387.37464318998
3147,2,§,§,72.0,1.0,1.0,1.0,1672493,49050.81689339888,,1623442.1831066012,1623442.1831066012
3149,2,§,§,77.0,1.0,1.0,1.0,5,22331.191472886032,,22326.191472886032,22326.191472886032
3150,2,©,©,86.0,1.0,1.0,1.0,171383,13963.772500991618,,157419.22749900838,157419.22749900838
3151,2,§,§,82.0,1.0,1.0,1.0,601,2943.7214655270654,,2342.7214655270654,2342.7214655270654
3152,2,ª,§,77.0,0.0,0.0,0.0,116,28000.884250563864,,27884.884250563864,27884.884250563864
3153,2,ª,§,77.0,0.0,0.0,0.0,1778,25157.218137433996,,23379.218137433996,23379.218137433996
3154,2,§,§,69.0,1.0,1.0,1.0,278244,37957.051034457385,,240286.9489655426,240286.9489655426
3155,2,§,§,78.0,1.0,1.0,1.0,16115,21808.677219863737,,5693.677219863737,5693.677219863737
3156,2,©,§,53.0,0.0,0.0,0.0,258660,488379.8692830854,,229719.8692830854,229719.8692830854
3157,2,ª,§,78.0,0.0,0.0,0.0,335870,20065.267979852943,,315804.732020147,315804.732020147
3158,2,§,§,77.0,1.0,1.0,1.0,94025,25282.235863169593,,68742.7641368304,68742.7641368304
