CaseID,Prefix length,Groud truth,Predicted,Confidence,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
200865,2,¦,¤,47.0,0.0,0.0,0.0,610546,6457.977821110507,,604088.0221788895,604088.0221788895
200871,2,¦,¤,77.0,0.0,0.0,0.0,96,10386.485548066783,,10290.485548066783,10290.485548066783
200874,2,¤,¤,52.0,1.0,1.0,1.0,157873,7093.998158865729,,150779.00184113428,150779.00184113428
200877,2,¤,¤,45.0,1.0,1.0,1.0,25,6317.692920141136,,6292.692920141136,6292.692920141136
200880,2,¤,¤,77.0,1.0,1.0,1.0,17456,9668.545076689381,,7787.454923310619,7787.454923310619
200883,2,¦,¦,99.0,1.0,1.0,1.0,608112,469137.29584402096,,138974.70415597904,138974.70415597904
200886,2,¦,¤,45.0,0.0,0.0,0.0,608074,6327.842888905019,,601746.157111095,601746.157111095
200895,2,¢,,42.0,0.0,0.0,0.0,455,1931.0897948545444,,1476.0897948545444,1476.0897948545444
200907,2,¤,¤,78.0,1.0,1.0,1.0,7811,6908.250794140827,,902.7492058591733,902.7492058591733
200919,2,¦,¤,77.0,0.0,0.0,0.0,64,6950.052613424138,,6886.052613424138,6886.052613424138
200922,2,¦,¤,77.0,0.0,0.0,0.0,50,6951.418993018582,,6901.418993018582,6901.418993018582
200925,2,¦,§,71.0,0.0,0.0,0.0,89553,178022.927242929,,88469.927242929,88469.927242929
200931,2,¦,¤,77.0,0.0,0.0,0.0,188,6952.317514843581,,6764.317514843581,6764.317514843581
200937,2,¤,¤,77.0,1.0,1.0,1.0,16818,6952.043455899137,,9865.956544100864,9865.956544100864
200952,2,¦,¤,77.0,0.0,0.0,0.0,2510,10704.599467830505,,8194.599467830505,8194.599467830505
200958,2,¤,¤,53.0,1.0,1.0,1.0,18403,7513.192847596066,,10889.807152403933,10889.807152403933
200970,2,¦,¦,95.0,1.0,1.0,1.0,57,328624.612740539,,328567.612740539,328567.612740539
200973,2,¦,¤,77.0,0.0,0.0,0.0,243774,6951.383756868582,,236822.61624313143,236822.61624313143
200976,2,¦,¤,60.0,0.0,0.0,0.0,608487,7196.944486218454,,601290.0555137815,601290.0555137815
200979,2,¤,¤,40.0,1.0,1.0,1.0,18167,1845.9670867101445,,16321.032913289855,16321.032913289855
200982,2,¤,¤,40.0,1.0,1.0,1.0,16895,1838.4304657379262,,15056.569534262075,15056.569534262075
200991,2,£,£,91.0,1.0,1.0,1.0,62057,7264.756456893418,,54792.24354310658,54792.24354310658
201000,2,¦,¤,77.0,0.0,0.0,0.0,608071,6941.936553540809,,601129.0634464592,601129.0634464592
201003,2,¤,¤,77.0,1.0,1.0,1.0,15460,6949.661100646361,,8510.33889935364,8510.33889935364
201006,2,¤,¤,55.0,1.0,1.0,1.0,16330,7331.818680598938,,8998.181319401061,8998.181319401061
201009,2,¤,¤,77.0,1.0,1.0,1.0,16359,6949.9410322824715,,9409.058967717529,9409.058967717529
201015,2,¦,¤,77.0,0.0,0.0,0.0,661844,6950.33058749636,,654893.6694125036,654893.6694125036
201021,2,¦,¤,76.0,0.0,0.0,0.0,82,9563.65684595888,,9481.65684595888,9481.65684595888
201027,2,¤,¤,77.0,1.0,1.0,1.0,16873,6949.295036199139,,9923.704963800861,9923.704963800861
201030,2,¤,¤,77.0,1.0,1.0,1.0,16787,6950.215091226916,,9836.784908773083,9836.784908773083
201036,2,¦,¤,77.0,0.0,0.0,0.0,2699,6951.597131332471,,4252.597131332471,4252.597131332471
201039,2,¤,¤,77.0,1.0,1.0,1.0,16965,6948.386726554694,,10016.613273445306,10016.613273445306
201042,2,¦,¤,54.0,0.0,0.0,0.0,608604,7399.2802473377915,,601204.7197526622,601204.7197526622
201054,2,¤,¤,77.0,1.0,1.0,1.0,65178,10395.707631547333,,54782.29236845267,54782.29236845267
201057,2,¦,¤,77.0,0.0,0.0,0.0,104,6949.150176471361,,6845.150176471361,6845.150176471361
201060,2,¦,¤,77.0,0.0,0.0,0.0,594726,6942.531652963031,,587783.468347037,587783.468347037
201072,2,¦,¤,77.0,0.0,0.0,0.0,602613,8872.928470200908,,593740.0715297991,593740.0715297991
201075,2,¤,¤,77.0,1.0,1.0,1.0,21481,6948.4748169296945,,14532.525183070306,14532.525183070306
201078,2,¤,¤,77.0,1.0,1.0,1.0,17493,6948.625549349139,,10544.374450650861,10544.374450650861
201081,2,¦,¤,77.0,0.0,0.0,0.0,75,10442.141046991754,,10367.141046991754,10367.141046991754
201084,2,¤,¤,76.0,1.0,1.0,1.0,21056,6887.584792165838,,14168.415207834161,14168.415207834161
201087,2,¤,¤,77.0,1.0,1.0,1.0,267,6947.3081088519175,,6680.3081088519175,6680.3081088519175
201093,2,¦,¤,77.0,0.0,0.0,0.0,590760,6942.6784702546975,,583817.3215297454,583817.3215297454
201096,2,¦,¤,76.0,0.0,0.0,0.0,586946,9748.112218517117,,577197.8877814829,577197.8877814829
201099,2,¢,¤,39.0,0.0,0.0,0.0,239,1818.46331407127,,1579.46331407127,1579.46331407127
201102,2,£,£,91.0,1.0,1.0,1.0,61915,7255.348404843423,,54659.651595156574,54659.651595156574
201111,2,¤,¤,39.0,1.0,1.0,1.0,13873,1821.098195065713,,12051.901804934287,12051.901804934287
