CaseID,Prefix length,Groud truth,Predicted,Confidence,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
3087,2,§,§,75.0,1.0,1.0,1.0,256462,79531.19318033414,,176930.80681966586,176930.80681966586
3088,2,©,©,87.0,1.0,1.0,1.0,14,33100.518764809996,,33086.518764809996,33086.518764809996
3089,2,ª,§,70.0,0.0,0.0,0.0,355698,55621.73070646865,,300076.26929353137,300076.26929353137
3090,2,§,§,74.0,1.0,1.0,1.0,1800,35447.28043280526,,33647.28043280526,33647.28043280526
3091,2,§,§,77.0,1.0,1.0,1.0,511775,15059.168900661796,,496715.8310993382,496715.8310993382
3092,2,§,§,75.0,1.0,1.0,1.0,8322,23684.549682926932,,15362.549682926932,15362.549682926932
3093,2,§,§,72.0,1.0,1.0,1.0,63707,35804.72716173485,,27902.272838265148,27902.272838265148
3094,2,§,§,74.0,1.0,1.0,1.0,1200770,52912.701122171915,,1147857.298877828,1147857.298877828
3095,2,§,§,75.0,1.0,1.0,1.0,355,33553.826664554144,,33198.826664554144,33198.826664554144
3096,2,§,§,72.0,1.0,1.0,1.0,2073582,38434.414584882325,,2035147.5854151177,2035147.5854151177
3098,2,§,§,77.0,1.0,1.0,1.0,1834,26411.866150354857,,24577.866150354857,24577.866150354857
3099,2,ª,§,74.0,0.0,0.0,0.0,47,33418.053982373596,,33371.053982373596,33371.053982373596
3100,2,ª,§,74.0,0.0,0.0,0.0,6931,30643.702652094446,,23712.702652094446,23712.702652094446
3101,2,§,§,75.0,1.0,1.0,1.0,3060,47930.02597354307,,44870.02597354307,44870.02597354307
3102,2,ª,§,73.0,0.0,0.0,0.0,3359,53114.39269870559,,49755.39269870559,49755.39269870559
3104,2,§,§,78.0,1.0,1.0,1.0,603250,11307.170972199396,,591942.8290278006,591942.8290278006
3105,2,ª,§,78.0,0.0,0.0,0.0,182513,19700.668042019577,,162812.3319579804,162812.3319579804
3106,2,§,§,77.0,1.0,1.0,1.0,1468099,40337.900445761225,,1427761.0995542388,1427761.0995542388
