CaseID,Prefix length,Groud truth,Predicted,Confidence,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
200865,2,¦,¤,56.0,0.0,0.0,0.0,610546,10377.97014515012,,600168.0298548499,600168.0298548499
200871,2,¦,¤,75.0,0.0,0.0,0.0,96,11637.772131227239,,11541.772131227239,11541.772131227239
200874,2,¤,¤,48.0,1.0,1.0,1.0,157873,10373.418809108456,,147499.58119089153,147499.58119089153
200877,2,¤,¤,49.0,1.0,1.0,1.0,25,10377.750897994565,,10352.750897994565,10352.750897994565
200880,2,¤,¤,73.0,1.0,1.0,1.0,17456,11136.115063677502,,6319.884936322498,6319.884936322498
200883,2,¦,¦,98.0,1.0,1.0,1.0,608112,361688.6185283884,,246423.38147161162,246423.38147161162
200886,2,¦,¤,49.0,0.0,0.0,0.0,608074,10377.698043769566,,597696.3019562304,597696.3019562304
200895,2,¢,¤,42.0,0.0,0.0,0.0,455,3774.6295023424677,,3319.6295023424677,3319.6295023424677
200907,2,¤,¤,79.0,1.0,1.0,1.0,7811,10681.472808047185,,2870.472808047185,2870.472808047185
200919,2,¦,¤,77.0,0.0,0.0,0.0,64,10624.157294944436,,10560.157294944436,10560.157294944436
200922,2,¦,¤,77.0,0.0,0.0,0.0,50,10649.30416066109,,10599.30416066109,10599.30416066109
200925,2,¦,¦,56.0,1.0,1.0,1.0,89553,157455.16365413976,,67902.16365413976,67902.16365413976
200931,2,¦,¤,77.0,0.0,0.0,0.0,188,10675.363251149965,,10487.363251149965,10487.363251149965
200937,2,¤,¤,77.0,1.0,1.0,1.0,16818,10671.326754411079,,6146.673245588921,6146.673245588921
200952,2,¦,¤,76.0,0.0,0.0,0.0,2510,16284.400425438695,,13774.400425438695,13774.400425438695
200958,2,¤,¤,54.0,1.0,1.0,1.0,18403,10708.444123308282,,7694.555876691718,7694.555876691718
200970,2,¦,¦,96.0,1.0,1.0,1.0,57,366758.95956878574,,366701.95956878574,366701.95956878574
200973,2,¦,¤,77.0,0.0,0.0,0.0,243774,10680.91490233885,,233093.08509766115,233093.08509766115
200976,2,¦,¤,53.0,0.0,0.0,0.0,608487,10812.302675433226,,597674.6973245668,597674.6973245668
200979,2,¤,¤,47.0,1.0,1.0,1.0,18167,4705.729105580869,,13461.27089441913,13461.27089441913
200982,2,¤,¤,47.0,1.0,1.0,1.0,16895,4560.148994292056,,12334.851005707944,12334.851005707944
200991,2,£,£,100.0,1.0,1.0,1.0,62057,13740.522661062249,,48316.47733893775,48316.47733893775
201000,2,¦,¤,78.0,0.0,0.0,0.0,608071,10588.791945727788,,597482.2080542722,597482.2080542722
201003,2,¤,¤,77.0,1.0,1.0,1.0,15460,10647.393578305535,,4812.606421694465,4812.606421694465
201006,2,¤,¤,54.0,1.0,1.0,1.0,16330,10708.70839443328,,5621.291605566719,5621.291605566719
201009,2,¤,¤,77.0,1.0,1.0,1.0,16359,10649.805297016645,,5709.1947029833555,5709.1947029833555
201015,2,¦,¤,77.0,0.0,0.0,0.0,661844,10670.015186605524,,651173.9848133945,651173.9848133945
201021,2,¦,¤,77.0,0.0,0.0,0.0,82,11217.320686480236,,11135.320686480236,11135.320686480236
201027,2,¤,¤,77.0,1.0,1.0,1.0,16873,10647.828157488868,,6225.171842511132,6225.171842511132
201030,2,¤,¤,77.0,1.0,1.0,1.0,16787,10671.561662077745,,6115.4383379222545,6115.4383379222545
201036,2,¦,¤,76.0,0.0,0.0,0.0,2699,10718.102743536054,,8019.102743536054,8019.102743536054
201039,2,¤,¤,77.0,1.0,1.0,1.0,16965,10644.981859594425,,6320.018140405575,6320.018140405575
201042,2,¦,¤,54.0,0.0,0.0,0.0,608604,10708.440208180504,,597895.5597918195,597895.5597918195
201054,2,¤,¤,76.0,1.0,1.0,1.0,65178,14372.759027820252,,50805.240972179745,50805.240972179745
201057,2,¦,¤,77.0,0.0,0.0,0.0,104,10655.771951749975,,10551.771951749975,10551.771951749975
201060,2,¦,¤,77.0,0.0,0.0,0.0,594726,10594.805581994451,,584131.1944180055,584131.1944180055
201072,2,¦,¤,76.0,0.0,0.0,0.0,602613,10405.69316494455,,592207.3068350555,592207.3068350555
201075,2,¤,¤,77.0,1.0,1.0,1.0,21481,10653.524668405533,,10827.475331594467,10827.475331594467
201078,2,¤,¤,77.0,1.0,1.0,1.0,17493,10660.798975816639,,6832.201024183361,6832.201024183361
201081,2,¦,¤,76.0,0.0,0.0,0.0,75,14618.509640867345,,14543.509640867345,14543.509640867345
201084,2,¤,¤,77.0,1.0,1.0,1.0,21056,10580.738527888903,,10475.261472111097,10475.261472111097
201087,2,¤,¤,76.0,1.0,1.0,1.0,267,10658.532116833307,,10391.532116833307,10391.532116833307
201093,2,¦,¤,77.0,0.0,0.0,0.0,590760,10622.16057977777,,580137.8394202222,580137.8394202222
201096,2,¦,¤,76.0,0.0,0.0,0.0,586946,11948.966062643743,,574997.0339373562,574997.0339373562
201099,2,¢,¤,49.0,0.0,0.0,0.0,239,3811.2711832146706,,3572.2711832146706,3572.2711832146706
201102,2,£,£,100.0,1.0,1.0,1.0,61915,15438.527281230805,,46476.4727187692,46476.4727187692
201111,2,¤,¤,50.0,1.0,1.0,1.0,13873,3780.8858765313535,,10092.114123468647,10092.114123468647
201114,2,¤,¤,80.0,1.0,1.0,1.0,1745,10479.348463827846,,8734.348463827846,8734.348463827846
201120,2,¤,¤,80.0,1.0,1.0,1.0,12776,10481.341263866734,,2294.658736133266,2294.658736133266
201123,2,¤,¤,80.0,1.0,1.0,1.0,74844,10481.995090205623,,64362.00490979438,64362.00490979438
201129,2,¤,¤,50.0,1.0,1.0,1.0,14391,3770.2171533369146,,10620.782846663085,10620.782846663085
201138,2,¤,¤,54.0,1.0,1.0,1.0,17716,10708.416717413837,,7007.5832825861635,7007.5832825861635
201141,2,¦,¤,76.0,0.0,0.0,0.0,604773,15389.768279886384,,589383.2317201137,589383.2317201137
201144,2,¦,¦,96.0,1.0,1.0,1.0,72,366126.80737727496,,366054.80737727496,366054.80737727496
201147,2,¤,¤,76.0,1.0,1.0,1.0,306,10656.488420133308,,10350.488420133308,10350.488420133308
201150,2,¤,¤,77.0,1.0,1.0,1.0,16734,10605.717043111114,,6128.2829568888865,6128.2829568888865
201153,2,¦,¤,76.0,0.0,0.0,0.0,205,12569.574499901752,,12364.574499901752,12364.574499901752
201159,2,¤,¤,77.0,1.0,1.0,1.0,5973,10580.703291738904,,4607.703291738904,4607.703291738904
201162,2,¤,¤,77.0,1.0,1.0,1.0,3522,10617.928326649995,,7095.928326649995,7095.928326649995
201165,2,¤,¤,77.0,1.0,1.0,1.0,11722,10651.888144994422,,1070.111855005578,1070.111855005578
201168,2,¤,¤,77.0,1.0,1.0,1.0,17467,10647.35051189998,,6819.64948810002,6819.64948810002
201171,2,¤,¤,77.0,1.0,1.0,1.0,16758,10642.339148344427,,6115.660851655573,6115.660851655573
201177,2,¦,¤,77.0,0.0,0.0,0.0,661821,10696.732018561064,,651124.2679814389,651124.2679814389
201208,2,¦,¦,96.0,1.0,1.0,1.0,57,367045.07710678555,,366988.07710678555,366988.07710678555
201211,2,¦,¤,54.0,0.0,0.0,0.0,138,10708.424547669392,,10570.424547669392,10570.424547669392
201214,2,¤,¤,76.0,1.0,1.0,1.0,9576,10355.080350597354,,779.0803505973545,779.0803505973545
201217,2,¦,¤,58.0,0.0,0.0,0.0,141,10376.316003664011,,10235.316003664011,10235.316003664011
201226,2,¤,¤,48.0,1.0,1.0,1.0,14678,4221.396478447789,,10456.60352155221,10456.60352155221
201229,2,¤,¤,47.0,1.0,1.0,1.0,489,4614.287381203139,,4125.287381203139,4125.287381203139
201232,2,¦,¤,58.0,0.0,0.0,0.0,610786,10371.672662119568,,600414.3273378804,600414.3273378804
201235,2,¦,¦,99.0,1.0,1.0,1.0,606128,405858.9648331652,,200269.03516683477,200269.03516683477
201238,2,¤,¤,80.0,1.0,1.0,1.0,922,10521.451747950046,,9599.451747950046,9599.451747950046
201241,2,¤,¤,46.0,1.0,1.0,1.0,2098,4787.629663564159,,2689.6296635641593,2689.6296635641593
201244,2,¤,¤,76.0,1.0,1.0,1.0,66237,11432.386485569014,,54804.61351443099,54804.61351443099
201250,2,¤,¤,80.0,1.0,1.0,1.0,746,10522.786806522266,,9776.786806522266,9776.786806522266
201256,2,¦,¦,93.0,1.0,1.0,1.0,437526,95158.0889484835,,342367.9110515165,342367.9110515165
201259,2,¤,¤,76.0,1.0,1.0,1.0,710,10629.656091908322,,9919.656091908322,9919.656091908322
201265,2,¤,¤,76.0,1.0,1.0,1.0,314270,10584.95120537779,,303685.0487946222,303685.0487946222
201271,2,¤,¦,47.0,0.0,0.0,0.0,2205,10704.231445819394,,8499.231445819394,8499.231445819394
201274,2,¦,¤,81.0,0.0,0.0,0.0,657573,10530.66795873893,,647042.332041261,647042.332041261
201289,2,¤,¤,59.0,1.0,1.0,1.0,43,10343.109847416807,,10300.109847416807,10300.109847416807
201295,2,¦,¤,54.0,0.0,0.0,0.0,534,10708.440208180504,,10174.440208180504,10174.440208180504
201304,2,¤,¤,80.0,1.0,1.0,1.0,630,10582.285003361125,,9952.285003361125,9952.285003361125
201307,2,¦,¦,81.0,1.0,1.0,1.0,1037940,99434.65349244793,,938505.3465075521,938505.3465075521
201310,2,¦,¤,79.0,0.0,0.0,0.0,128,10582.308494127792,,10454.308494127792,10454.308494127792
201313,2,§,¦,96.0,0.0,0.0,0.0,1173,366017.81021994166,,364844.81021994166,364844.81021994166
201316,2,¦,¤,77.0,0.0,0.0,0.0,14,10586.239282416678,,10572.239282416678,10572.239282416678
