CaseID,Prefix length,Groud truth,Predicted,Confidence,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
200865,2,¦,¤,50.0,0.0,0.0,0.0,610546,7678.489542373757,,602867.5104576262,602867.5104576262
200871,2,¦,¤,71.0,0.0,0.0,0.0,96,11965.2158004854,,11869.2158004854,11869.2158004854
200874,2,¤,¤,52.0,1.0,1.0,1.0,157873,6666.0766503187315,,151206.92334968128,151206.92334968128
200877,2,¤,¤,52.0,1.0,1.0,1.0,25,6663.766724929844,,6638.766724929844,6638.766724929844
200880,2,¤,¤,77.0,1.0,1.0,1.0,17456,10419.625147141765,,7036.374852858235,7036.374852858235
200883,2,¦,¦,98.0,1.0,1.0,1.0,608112,431547.4963081296,,176564.50369187043,176564.50369187043
200886,2,¦,¤,52.0,0.0,0.0,0.0,608074,6663.8763485076215,,601410.1236514924,601410.1236514924
200895,2,¢,¤,39.0,0.0,0.0,0.0,455,5306.65423793611,,4851.65423793611,4851.65423793611
200907,2,¤,¤,74.0,1.0,1.0,1.0,7811,12325.902819704655,,4514.9028197046555,4514.9028197046555
200919,2,¦,¤,74.0,0.0,0.0,0.0,64,9976.908370722553,,9912.908370722553,9912.908370722553
200922,2,¦,¤,74.0,0.0,0.0,0.0,50,9975.649657141998,,9925.649657141998,9925.649657141998
200925,2,¦,§,61.0,0.0,0.0,0.0,89553,181955.6417746825,,92402.6417746825,92402.6417746825
200931,2,¦,¤,74.0,0.0,0.0,0.0,188,9974.833353000333,,9786.833353000333,9786.833353000333
200937,2,¤,¤,74.0,1.0,1.0,1.0,16818,9974.89012235311,,6843.10987764689,6843.10987764689
200952,2,¦,¤,73.0,0.0,0.0,0.0,2510,18174.197367621036,,15664.197367621036,15664.197367621036
200958,2,¤,¤,47.0,1.0,1.0,1.0,18403,9996.48596717532,,8406.51403282468,8406.51403282468
200970,2,¦,¦,95.0,1.0,1.0,1.0,57,324431.44824849674,,324374.44824849674,324374.44824849674
200973,2,¦,¤,74.0,0.0,0.0,0.0,243774,9974.34200446422,,233799.6579955358,233799.6579955358
200976,2,¦,¤,56.0,0.0,0.0,0.0,608487,9829.777868833742,,598657.2221311663,598657.2221311663
200979,2,¤,,39.0,0.0,0.0,0.0,18167,4212.571780436683,,13954.428219563317,13954.428219563317
200982,2,¤,,39.0,0.0,0.0,0.0,16895,4212.642252736683,,12682.357747263317,12682.357747263317
200991,2,£,£,100.0,1.0,1.0,1.0,62057,10654.356633058309,,51402.64336694169,51402.64336694169
201000,2,¦,¤,74.0,0.0,0.0,0.0,608071,9980.10115742533,,598090.8988425747,598090.8988425747
201003,2,¤,¤,74.0,1.0,1.0,1.0,15460,9975.066303103109,,5484.933696896891,5484.933696896891
201006,2,¤,¤,52.0,1.0,1.0,1.0,16330,9964.773432175338,,6365.226567824662,6365.226567824662
201009,2,¤,¤,74.0,1.0,1.0,1.0,16359,9975.052600155888,,6383.947399844112,6383.947399844112
201015,2,¦,¤,74.0,0.0,0.0,0.0,661844,9974.330259080887,,651869.6697409191,651869.6697409191
201021,2,¦,¤,72.0,0.0,0.0,0.0,82,16526.496266705235,,16444.496266705235,16444.496266705235
201027,2,¤,¤,74.0,1.0,1.0,1.0,16873,9974.884249661443,,6898.115750338557,6898.115750338557
201030,2,¤,¤,74.0,1.0,1.0,1.0,16787,9974.230423322555,,6812.769576677445,6812.769576677445
201036,2,¦,¤,74.0,0.0,0.0,0.0,2699,9973.439567511445,,7274.439567511445,7274.439567511445
201039,2,¤,¤,74.0,1.0,1.0,1.0,16965,9974.637596611443,,6990.362403388557,6990.362403388557
201042,2,¦,¤,47.0,0.0,0.0,0.0,608604,10008.286162297536,,598595.7138377024,598595.7138377024
201054,2,¤,¤,73.0,1.0,1.0,1.0,65178,17480.190072349178,,47697.80992765082,47697.80992765082
201057,2,¦,¤,74.0,0.0,0.0,0.0,104,9974.434009966999,,9870.434009966999,9870.434009966999
201060,2,¦,¤,74.0,0.0,0.0,0.0,594726,9977.552409241996,,584748.447590758,584748.447590758
201072,2,¦,¤,73.0,0.0,0.0,0.0,602613,16906.385030110592,,585706.6149698894,585706.6149698894
201075,2,¤,¤,74.0,1.0,1.0,1.0,21481,9974.242168705889,,11506.757831294111,11506.757831294111
201078,2,¤,¤,74.0,1.0,1.0,1.0,17493,9973.983770272554,,7519.0162297274455,7519.0162297274455
201081,2,¦,¤,73.0,0.0,0.0,0.0,75,17566.708523546356,,17491.708523546356,17491.708523546356
201084,2,¤,¤,74.0,1.0,1.0,1.0,21056,9968.537827533668,,11087.462172466332,11087.462172466332
201087,2,¤,¤,74.0,1.0,1.0,1.0,267,9973.457185586443,,9706.457185586443,9706.457185586443
201093,2,¦,¤,74.0,0.0,0.0,0.0,590760,9972.946261411444,,580787.0537385886,580787.0537385886
201096,2,¦,¤,73.0,0.0,0.0,0.0,586946,16648.669786574614,,570297.3302134253,570297.3302134253
201099,2,¢,,39.0,0.0,0.0,0.0,239,4213.472259825571,,3974.472259825571,3974.472259825571
201102,2,£,£,100.0,1.0,1.0,1.0,61915,10614.27746999722,,51300.72253000278,51300.72253000278
201111,2,¤,,39.0,0.0,0.0,0.0,13873,4213.98514156446,,9659.014858435541,9659.014858435541
201114,2,¤,¤,77.0,1.0,1.0,1.0,1745,11578.675234985603,,9833.675234985603,9833.675234985603
201120,2,¤,¤,77.0,1.0,1.0,1.0,12776,11582.938809135601,,1193.0611908643987,1193.0611908643987
201123,2,¤,¤,77.0,1.0,1.0,1.0,74844,11588.856524771709,,63255.143475228295,63255.143475228295
201129,2,¤,,39.0,0.0,0.0,0.0,14391,4214.192643336682,,10176.807356663317,10176.807356663317
201138,2,¤,¤,47.0,1.0,1.0,1.0,17716,10009.086805928091,,7706.913194071909,7706.913194071909
201141,2,¦,¤,73.0,0.0,0.0,0.0,604773,17948.66447441838,,586824.3355255816,586824.3355255816
201144,2,¦,¦,95.0,1.0,1.0,1.0,72,325267.9387889852,,325195.9387889852,325195.9387889852
201147,2,¤,¤,74.0,1.0,1.0,1.0,306,9973.466973405888,,9667.466973405888,9667.466973405888
201150,2,¤,¤,74.0,1.0,1.0,1.0,16734,9975.128945147553,,6758.871054852447,6758.871054852447
201153,2,¦,¤,73.0,0.0,0.0,0.0,205,16862.461211571725,,16657.461211571725,16657.461211571725
201159,2,¤,¤,74.0,1.0,1.0,1.0,5973,9969.561633447556,,3996.5616334475562,3996.5616334475562
201162,2,¤,¤,74.0,1.0,1.0,1.0,3522,9974.672832761444,,6452.672832761444,6452.672832761444
201165,2,¤,¤,74.0,1.0,1.0,1.0,11722,9973.842825672555,,1748.1571743274453,1748.1571743274453
201168,2,¤,¤,74.0,1.0,1.0,1.0,17467,9974.050327444776,,7492.9496725552235,7492.9496725552235
201171,2,¤,¤,74.0,1.0,1.0,1.0,16758,9974.249998961443,,6783.7500010385575,6783.7500010385575
201177,2,¦,¤,74.0,0.0,0.0,0.0,661821,9974.210847683666,,651846.7891523163,651846.7891523163
201208,2,¦,¦,95.0,1.0,1.0,1.0,57,323978.38966205256,,323921.38966205256,323921.38966205256
201211,2,¦,¤,47.0,0.0,0.0,0.0,138,10004.956346122539,,9866.956346122539,9866.956346122539
201214,2,¤,¤,73.0,1.0,1.0,1.0,9576,16619.410079127407,,7043.410079127407,7043.410079127407
201217,2,¦,¤,50.0,0.0,0.0,0.0,141,8862.38111596758,,8721.38111596758,8721.38111596758
201226,2,¤,,39.0,0.0,0.0,0.0,14678,4212.716640164461,,10465.28335983554,10465.28335983554
201229,2,¤,,39.0,0.0,0.0,0.0,489,4212.599186331127,,3723.5991863311274,3723.5991863311274
