CaseID,Prefix length,Groud truth,Predicted,Confidence,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
3087,2,§,§,73.0,1.0,1.0,1.0,256462,85714.49484309541,,170747.50515690458,170747.50515690458
3088,2,©,©,86.0,1.0,1.0,1.0,14,9956.763932264224,,9942.763932264224,9942.763932264224
3089,2,ª,§,74.0,0.0,0.0,0.0,355698,64403.19978706283,,291294.8002129372,291294.8002129372
3090,2,§,§,75.0,1.0,1.0,1.0,1800,35520.64168158902,,33720.64168158902,33720.64168158902
3091,2,§,§,79.0,1.0,1.0,1.0,511775,15617.604771067947,,496157.39522893203,496157.39522893203
3092,2,§,§,77.0,1.0,1.0,1.0,8322,31258.18403997709,,22936.18403997709,22936.18403997709
3093,2,§,§,74.0,1.0,1.0,1.0,63707,47273.87934381627,,16433.12065618373,16433.12065618373
3094,2,§,§,72.0,1.0,1.0,1.0,1200770,43764.23722448924,,1157005.7627755108,1157005.7627755108
3095,2,§,§,76.0,1.0,1.0,1.0,355,28248.53425143842,,27893.53425143842,27893.53425143842
3096,2,§,§,74.0,1.0,1.0,1.0,2073582,40032.094479352665,,2033549.9055206473,2033549.9055206473
3098,2,§,§,78.0,1.0,1.0,1.0,1834,21306.253866629388,,19472.253866629388,19472.253866629388
3099,2,ª,§,76.0,0.0,0.0,0.0,47,28064.79169777357,,28017.79169777357,28017.79169777357
3100,2,ª,§,76.0,0.0,0.0,0.0,6931,33357.63828168941,,26426.63828168941,26426.63828168941
3101,2,§,§,75.0,1.0,1.0,1.0,3060,45026.58373706291,,41966.58373706291,41966.58373706291
3102,2,ª,§,74.0,0.0,0.0,0.0,3359,55248.2112577087,,51889.2112577087,51889.2112577087
3104,2,§,§,80.0,1.0,1.0,1.0,603250,9885.624703996707,,593364.3752960033,593364.3752960033
3105,2,ª,§,78.0,0.0,0.0,0.0,182513,28270.531311683364,,154242.46868831664,154242.46868831664
3106,2,§,§,77.0,1.0,1.0,1.0,1468099,31783.73432103148,,1436315.2656789685,1436315.2656789685
3107,2,§,§,80.0,1.0,1.0,1.0,101552,11473.473650553602,,90078.5263494464,90078.5263494464
3109,2,§,§,75.0,1.0,1.0,1.0,9496,34639.492688668055,,25143.492688668055,25143.492688668055
3110,2,ª,§,78.0,0.0,0.0,0.0,497858,19820.73729349376,,478037.26270650624,478037.26270650624
3111,2,§,§,76.0,1.0,1.0,1.0,422936,30353.051682757057,,392582.94831724296,392582.94831724296
3114,2,©,§,75.0,0.0,0.0,0.0,432095,37636.91036426583,,394458.08963573416,394458.08963573416
3115,2,ª,§,73.0,0.0,0.0,0.0,1492131,52111.5574393803,,1440019.4425606197,1440019.4425606197
3116,2,§,§,80.0,1.0,1.0,1.0,15,18772.116468566477,,18757.116468566477,18757.116468566477
3117,2,§,§,74.0,1.0,1.0,1.0,265,52647.63010330368,,52382.63010330368,52382.63010330368
3119,2,¢,©,84.0,0.0,0.0,0.0,0,17944.723400553292,,17944.723400553292,17944.723400553292
3120,2,§,§,79.0,1.0,1.0,1.0,13,48932.374085513315,,48919.374085513315,48919.374085513315
3122,2,ª,§,74.0,0.0,0.0,0.0,491887,59196.694571778105,,432690.3054282219,432690.3054282219
3123,2,§,§,79.0,1.0,1.0,1.0,19877,35871.834067057054,,15994.834067057054,15994.834067057054
3124,2,§,§,77.0,1.0,1.0,1.0,6364,27995.68905973876,,21631.68905973876,21631.68905973876
3125,2,§,§,75.0,1.0,1.0,1.0,191661,25192.052316205943,,166468.94768379405,166468.94768379405
3127,2,§,§,82.0,1.0,1.0,1.0,1443966,54258.91240908137,,1389707.0875909186,1389707.0875909186
3129,2,§,§,74.0,1.0,1.0,1.0,1821440,42772.166350267384,,1778667.8336497326,1778667.8336497326
3130,2,©,©,87.0,1.0,1.0,1.0,283515,0.0,,283515.0,283515.0
3131,2,ª,§,76.0,0.0,0.0,0.0,65713,56964.12024380561,,8748.879756194387,8748.879756194387
3132,2,§,§,80.0,1.0,1.0,1.0,84,11108.628567599633,,11024.628567599633,11024.628567599633
3133,2,§,§,71.0,1.0,1.0,1.0,250346,56625.9268355019,,193720.07316449808,193720.07316449808
3134,2,§,§,76.0,1.0,1.0,1.0,256137,26901.310955184934,,229235.68904481508,229235.68904481508
3135,2,£,§,79.0,0.0,0.0,0.0,1910237,16193.504088430955,,1894043.495911569,1894043.495911569
3136,2,§,§,85.0,1.0,1.0,1.0,326315,66553.51849841427,,259761.48150158575,259761.48150158575
3137,2,¢,©,89.0,0.0,0.0,0.0,2,0.0,,2.0,2.0
3138,2,ª,§,72.0,0.0,0.0,0.0,237438,40130.16824202498,,197307.83175797501,197307.83175797501
3140,2,§,§,75.0,1.0,1.0,1.0,115,50028.512206317624,,49913.512206317624,49913.512206317624
3141,2,§,§,74.0,1.0,1.0,1.0,1023148,39247.48866354332,,983900.5113364566,983900.5113364566
3143,2,ª,§,77.0,0.0,0.0,0.0,172828,42991.04951410494,,129836.95048589507,129836.95048589507
3144,2,§,§,83.0,1.0,1.0,1.0,697,63177.361040142154,,62480.361040142154,62480.361040142154
3146,2,§,§,80.0,1.0,1.0,1.0,200693,12163.327734363424,,188529.6722656366,188529.6722656366
3147,2,§,§,80.0,1.0,1.0,1.0,1672493,64166.58445950161,,1608326.4155404984,1608326.4155404984
3149,2,§,§,75.0,1.0,1.0,1.0,5,48119.63629567161,,48114.63629567161,48114.63629567161
3150,2,©,©,84.0,1.0,1.0,1.0,171383,19485.765343505675,,151897.2346564943,151897.2346564943
3151,2,§,§,82.0,1.0,1.0,1.0,601,0.0,,601.0,601.0
3152,2,ª,§,78.0,0.0,0.0,0.0,116,30146.630062550197,,30030.630062550197,30030.630062550197
3153,2,ª,§,77.0,0.0,0.0,0.0,1778,23240.74901382158,,21462.74901382158,21462.74901382158
3154,2,§,§,72.0,1.0,1.0,1.0,278244,32279.336039852104,,245964.66396014788,245964.66396014788
3155,2,§,§,80.0,1.0,1.0,1.0,16115,12972.278346380419,,3142.721653619581,3142.721653619581
3156,2,©,§,70.0,0.0,0.0,0.0,258660,437389.9859145723,,178729.98591457232,178729.98591457232
3157,2,ª,§,77.0,0.0,0.0,0.0,335870,46337.80212944925,,289532.19787055074,289532.19787055074
3158,2,§,§,77.0,1.0,1.0,1.0,94025,24129.063787190968,,69895.93621280903,69895.93621280903
3159,2,©,§,61.0,0.0,0.0,0.0,0,111276.72572007152,,111276.72572007152,111276.72572007152
3160,2,§,§,79.0,1.0,1.0,1.0,100117,14374.348149039753,,85742.65185096025,85742.65185096025
3161,2,§,§,76.0,1.0,1.0,1.0,241821,33088.91837198758,,208732.0816280124,208732.0816280124
3163,2,§,§,77.0,1.0,1.0,1.0,1175,31958.431648323283,,30783.431648323283,30783.431648323283
3164,2,§,§,85.0,1.0,1.0,1.0,346598,22752.30207534781,,323845.6979246522,323845.6979246522
3166,2,§,§,77.0,1.0,1.0,1.0,3675,42023.07200519781,,38348.07200519781,38348.07200519781
3167,2,§,§,79.0,1.0,1.0,1.0,86,19854.6804640389,,19768.6804640389,19768.6804640389
3168,2,§,§,72.0,1.0,1.0,1.0,2569568,56182.37759728947,,2513385.6224027104,2513385.6224027104
3169,2,§,§,77.0,1.0,1.0,1.0,2078,32724.86529634633,,30646.86529634633,30646.86529634633
3170,2,ª,§,77.0,0.0,0.0,0.0,946,47702.32072824995,,46756.32072824995,46756.32072824995
