CaseID,Prefix length,Groud truth,Predicted,Confidence,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
200865,2,¦,¤,49.0,0.0,0.0,0.0,610546,7944.208285869451,,602601.7917141306,602601.7917141306
200871,2,¦,¤,72.0,0.0,0.0,0.0,96,14031.788592089873,,13935.788592089873,13935.788592089873
200874,2,¤,¤,54.0,1.0,1.0,1.0,157873,7985.826094147207,,149887.1739058528,149887.1739058528
200877,2,¤,¤,52.0,1.0,1.0,1.0,25,7817.439384770906,,7792.439384770906,7792.439384770906
200880,2,¤,¤,79.0,1.0,1.0,1.0,17456,14027.881294567655,,3428.1187054323455,3428.1187054323455
200883,2,¦,¦,89.0,1.0,1.0,1.0,608112,140722.0484765263,,467389.9515234737,467389.9515234737
200886,2,¦,¤,52.0,0.0,0.0,0.0,608074,7817.316058245906,,600256.683941754,600256.683941754
200895,2,¢,¢,39.0,1.0,1.0,1.0,455,3197.7848527754086,,2742.7848527754086,2742.7848527754086
200907,2,¤,¤,75.0,1.0,1.0,1.0,7811,9889.061712426766,,2078.0617124267665,2078.0617124267665
200919,2,¦,¤,75.0,0.0,0.0,0.0,64,8234.619740259577,,8170.619740259577,8170.619740259577
200922,2,¦,¤,75.0,0.0,0.0,0.0,50,8232.88729621791,,8182.88729621791,8182.88729621791
200925,2,¦,§,71.0,0.0,0.0,0.0,89553,170843.89838142163,,81290.89838142163,81290.89838142163
200931,2,¦,¤,75.0,0.0,0.0,0.0,188,8230.638055309579,,8042.638055309579,8042.638055309579
200937,2,¤,¤,75.0,1.0,1.0,1.0,16818,8230.591073776246,,8587.408926223754,8587.408926223754
200952,2,¦,¤,58.0,0.0,0.0,0.0,2510,12826.027114729395,,10316.027114729395,10316.027114729395
200958,2,¤,¦,52.0,0.0,0.0,0.0,18403,8058.723815805502,,10344.276184194498,10344.276184194498
200970,2,¦,¦,90.0,1.0,1.0,1.0,57,133576.54876930782,,133519.54876930782,133519.54876930782
200973,2,¦,¤,75.0,0.0,0.0,0.0,243774,8227.04592557347,,235546.95407442653,235546.95407442653
200976,2,¦,¤,62.0,0.0,0.0,0.0,608487,14020.483660631548,,594466.5163393684,594466.5163393684
200979,2,¤,¤,50.0,1.0,1.0,1.0,18167,2742.769681224258,,15424.230318775742,15424.230318775742
200982,2,¤,¤,50.0,1.0,1.0,1.0,16895,2742.6341199249528,,14152.365880075047,14152.365880075047
200991,2,£,£,97.0,1.0,1.0,1.0,62057,11502.887170245365,,50554.11282975464,50554.11282975464
201000,2,¦,¤,75.0,0.0,0.0,0.0,608071,8230.914071817911,,599840.0859281821,599840.0859281821
201003,2,¤,¤,75.0,1.0,1.0,1.0,15460,8229.072982980413,,7230.927017019587,7230.927017019587
201006,2,¤,¦,45.0,0.0,0.0,0.0,16330,8077.719526392298,,8252.280473607701,8252.280473607701
201009,2,¤,¤,75.0,1.0,1.0,1.0,16359,8229.256015204024,,8129.743984795976,8129.743984795976
201015,2,¦,¤,75.0,0.0,0.0,0.0,661844,8226.124891763748,,653617.8751082362,653617.8751082362
201021,2,¦,¤,57.0,0.0,0.0,0.0,82,10751.286387798536,,10669.286387798536,10669.286387798536
201027,2,¤,¤,75.0,1.0,1.0,1.0,16873,8228.054070976246,,8644.945929023754,8644.945929023754
201030,2,¤,¤,75.0,1.0,1.0,1.0,16787,8225.466171515138,,8561.533828484862,8561.533828484862
201036,2,¦,¤,75.0,0.0,0.0,0.0,2699,8220.657415822085,,5521.657415822085,5521.657415822085
201039,2,¤,¤,75.0,1.0,1.0,1.0,16965,8226.39405679847,,8738.60594320153,8738.60594320153
201042,2,¦,¦,50.0,1.0,1.0,1.0,608604,8075.7839850971595,,600528.2160149028,600528.2160149028
201054,2,¤,¤,57.0,1.0,1.0,1.0,65178,13689.729750837276,,51488.27024916273,51488.27024916273
201057,2,¦,¤,75.0,0.0,0.0,0.0,104,8225.893899224859,,8121.893899224859,8121.893899224859
201060,2,¦,¤,75.0,0.0,0.0,0.0,594726,8229.767918160967,,586496.232081839,586496.232081839
201072,2,¦,¤,56.0,0.0,0.0,0.0,602613,14292.900208973071,,588320.0997910269,588320.0997910269
201075,2,¤,¤,75.0,1.0,1.0,1.0,21481,8224.557861870693,,13256.442138129307,13256.442138129307
201078,2,¤,¤,75.0,1.0,1.0,1.0,17493,8223.22476086236,,9269.77523913764,9269.77523913764
201081,2,¦,¤,57.0,0.0,0.0,0.0,75,13721.07034869837,,13646.07034869837,13646.07034869837
201084,2,¤,¤,74.0,1.0,1.0,1.0,21056,8106.652810061032,,12949.347189938968,12949.347189938968
201087,2,¤,¤,75.0,1.0,1.0,1.0,267,8219.842090462362,,7952.842090462362,7952.842090462362
201093,2,¦,¤,75.0,0.0,0.0,0.0,590760,8218.55107707764,,582541.4489229224,582541.4489229224
201096,2,¦,¤,57.0,0.0,0.0,0.0,586946,10815.931998883225,,576130.0680011167,576130.0680011167
201099,2,¢,¤,50.0,0.0,0.0,0.0,239,2741.7258102805085,,2502.7258102805085,2502.7258102805085
201102,2,£,£,97.0,1.0,1.0,1.0,61915,11496.841234174535,,50418.158765825465,50418.158765825465
201111,2,¤,¤,50.0,1.0,1.0,1.0,13873,2741.59171715412,,11131.40828284588,11131.40828284588
201114,2,¤,¤,75.0,1.0,1.0,1.0,1745,9408.591358846461,,7663.591358846461,7663.591358846461
201120,2,¤,¤,75.0,1.0,1.0,1.0,12776,9409.64159187285,,3366.3584081271492,3366.3584081271492
201123,2,¤,¤,75.0,1.0,1.0,1.0,74844,9410.850387574239,,65433.14961242576,65433.14961242576
201129,2,¤,¤,50.0,1.0,1.0,1.0,14391,2741.580950552731,,11649.41904944727,11649.41904944727
201138,2,¤,¦,52.0,0.0,0.0,0.0,17716,8077.001100445076,,9638.998899554925,9638.998899554925
201141,2,¦,¤,57.0,0.0,0.0,0.0,604773,14105.216813562058,,590667.7831864379,590667.7831864379
201144,2,¦,¦,91.0,1.0,1.0,1.0,72,108878.19226062077,,108806.19226062077,108806.19226062077
201147,2,¤,¤,75.0,1.0,1.0,1.0,306,8219.902774942917,,7913.902774942917,7913.902774942917
201150,2,¤,¤,75.0,1.0,1.0,1.0,16734,8226.092591959581,,8507.907408040419,8507.907408040419
201153,2,¦,¤,57.0,0.0,0.0,0.0,205,12345.47943737548,,12140.47943737548,12140.47943737548
201159,2,¤,¤,74.0,1.0,1.0,1.0,5973,8123.18003258394,,2150.1800325839404,2150.1800325839404
201162,2,¤,¤,75.0,1.0,1.0,1.0,3522,8225.172536931805,,4703.172536931805,4703.172536931805
201165,2,¤,¤,75.0,1.0,1.0,1.0,11722,8222.122652392916,,3499.8773476070837,3499.8773476070837
201168,2,¤,¤,75.0,1.0,1.0,1.0,17467,8223.221824516528,,9243.778175483472,9243.778175483472
201171,2,¤,¤,75.0,1.0,1.0,1.0,16758,8224.164391529026,,8533.835608470974,8533.835608470974
201177,2,¦,¤,75.0,0.0,0.0,0.0,661821,8227.221127541525,,653593.7788724585,653593.7788724585
201208,2,¦,¦,91.0,1.0,1.0,1.0,57,136200.8432582398,,136143.8432582398,136143.8432582398
201211,2,¦,¦,53.0,1.0,1.0,1.0,138,8063.332410590916,,7925.332410590916,7925.332410590916
201214,2,¤,¤,57.0,1.0,1.0,1.0,9576,14290.970050978627,,4714.970050978627,4714.970050978627
201217,2,¦,¤,48.0,0.0,0.0,0.0,141,7232.493846440657,,7091.493846440657,7091.493846440657
201226,2,¤,¤,50.0,1.0,1.0,1.0,14678,2741.918140932592,,11936.081859067408,11936.081859067408
201229,2,¤,¤,50.0,1.0,1.0,1.0,489,2742.3346126499528,,2253.3346126499528,2253.3346126499528
201232,2,¦,¤,48.0,0.0,0.0,0.0,610786,7306.78535358784,,603479.2146464122,603479.2146464122
