CaseID,Prefix length,Groud truth,Predicted,Confidence,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
3087,2,§,§,76.0,1.0,1.0,1.0,256462,74757.01081389264,,181704.98918610736,181704.98918610736
3088,2,©,©,86.0,1.0,1.0,1.0,14,10790.006697145664,,10776.006697145664,10776.006697145664
3089,2,ª,§,76.0,0.0,0.0,0.0,355698,34128.33682623373,,321569.6631737663,321569.6631737663
3090,2,§,§,76.0,1.0,1.0,1.0,1800,30612.625793728675,,28812.625793728675,28812.625793728675
3091,2,§,§,76.0,1.0,1.0,1.0,511775,15934.644984061099,,495840.3550159389,495840.3550159389
3092,2,§,§,76.0,1.0,1.0,1.0,8322,15920.212850807091,,7598.212850807091,7598.212850807091
3093,2,§,§,76.0,1.0,1.0,1.0,63707,18155.1584863885,,45551.8415136115,45551.8415136115
3094,2,§,§,76.0,1.0,1.0,1.0,1200770,42708.296617691616,,1158061.7033823084,1158061.7033823084
3095,2,§,§,76.0,1.0,1.0,1.0,355,30504.645653875035,,30149.645653875035,30149.645653875035
3096,2,§,§,76.0,1.0,1.0,1.0,2073582,25920.14589594379,,2047661.8541040563,2047661.8541040563
3098,2,§,§,76.0,1.0,1.0,1.0,1834,32153.375448268027,,30319.375448268027,30319.375448268027
3099,2,ª,§,76.0,0.0,0.0,0.0,47,29969.90871657033,,29922.90871657033,29922.90871657033
3100,2,ª,§,76.0,0.0,0.0,0.0,6931,20391.21827511419,,13460.218275114192,13460.218275114192
3101,2,§,§,76.0,1.0,1.0,1.0,3060,43232.866318263594,,40172.866318263594,40172.866318263594
3102,2,ª,§,76.0,0.0,0.0,0.0,3359,48048.08534931692,,44689.08534931692,44689.08534931692
3104,2,§,§,76.0,1.0,1.0,1.0,603250,15750.668285377209,,587499.3317146228,587499.3317146228
3105,2,ª,§,76.0,0.0,0.0,0.0,182513,15781.553427687122,,166731.44657231288,166731.44657231288
3106,2,§,§,76.0,1.0,1.0,1.0,1468099,46602.983149333144,,1421496.0168506668,1421496.0168506668
3107,2,§,§,76.0,1.0,1.0,1.0,101552,15729.287230819933,,85822.71276918007,85822.71276918007
3109,2,§,§,76.0,1.0,1.0,1.0,9496,18451.922369310174,,8955.922369310174,8955.922369310174
3110,2,ª,§,76.0,0.0,0.0,0.0,497858,8428.834110377982,,489429.165889622,489429.165889622
3111,2,§,§,76.0,1.0,1.0,1.0,422936,19728.943017372294,,403207.0569826277,403207.0569826277
3114,2,©,§,76.0,0.0,0.0,0.0,432095,44101.81148421911,,387993.1885157809,387993.1885157809
3115,2,ª,§,76.0,0.0,0.0,0.0,1492131,46048.750889168114,,1446082.2491108319,1446082.2491108319
3116,2,§,§,76.0,1.0,1.0,1.0,15,34302.86129478665,,34287.86129478665,34287.86129478665
3117,2,§,§,76.0,1.0,1.0,1.0,265,20389.203685084616,,20124.203685084616,20124.203685084616
3119,2,¢,©,86.0,0.0,0.0,0.0,0,16752.595250601797,,16752.595250601797,16752.595250601797
3120,2,§,§,76.0,1.0,1.0,1.0,13,61230.56935084275,,61217.56935084275,61217.56935084275
3122,2,ª,§,76.0,0.0,0.0,0.0,491887,39686.587574950936,,452200.41242504906,452200.41242504906
3123,2,§,§,76.0,1.0,1.0,1.0,19877,34500.20311687268,,14623.203116872683,14623.203116872683
