CaseID,Prefix length,Groud truth,Predicted,Confidence,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
3087,2,§,§,67.0,1.0,1.0,1.0,256462,73154.84916375588,,183307.1508362441,183307.1508362441
3088,2,©,©,90.0,1.0,1.0,1.0,14,21217.780049737637,,21203.780049737637,21203.780049737637
3089,2,ª,§,60.0,0.0,0.0,0.0,355698,75148.23099751465,,280549.7690024853,280549.7690024853
3090,2,§,§,69.0,1.0,1.0,1.0,1800,38889.88164741948,,37089.88164741948,37089.88164741948
3091,2,§,§,69.0,1.0,1.0,1.0,511775,20381.346469680648,,491393.65353031934,491393.65353031934
3092,2,§,§,68.0,1.0,1.0,1.0,8322,20144.630569762252,,11822.630569762252,11822.630569762252
3093,2,§,§,67.0,1.0,1.0,1.0,63707,25818.860103614334,,37888.13989638566,37888.13989638566
3094,2,§,§,68.0,1.0,1.0,1.0,1200770,42535.74902453434,,1158234.2509754656,1158234.2509754656
3095,2,§,§,69.0,1.0,1.0,1.0,355,34585.26533083603,,34230.26533083603,34230.26533083603
3096,2,§,§,66.0,1.0,1.0,1.0,2073582,36796.210316244484,,2036785.7896837555,2036785.7896837555
3098,2,§,§,69.0,1.0,1.0,1.0,1834,32592.71636191009,,30758.71636191009,30758.71636191009
3099,2,ª,§,66.0,0.0,0.0,0.0,47,37635.87635471867,,37588.87635471867,37588.87635471867
3100,2,ª,§,68.0,0.0,0.0,0.0,6931,27284.997640677615,,20353.997640677615,20353.997640677615
3101,2,§,§,69.0,1.0,1.0,1.0,3060,51587.50631502499,,48527.50631502499,48527.50631502499
3102,2,ª,§,68.0,0.0,0.0,0.0,3359,57694.03669751718,,54335.03669751718,54335.03669751718
3104,2,§,§,70.0,1.0,1.0,1.0,603250,19883.14872689055,,583366.8512731094,583366.8512731094
3105,2,ª,§,69.0,0.0,0.0,0.0,182513,14953.783213334547,,167559.21678666546,167559.21678666546
3106,2,§,§,69.0,1.0,1.0,1.0,1468099,40916.17892794855,,1427182.8210720515,1427182.8210720515
3107,2,§,§,70.0,1.0,1.0,1.0,101552,19853.366737623353,,81698.63326237665,81698.63326237665
3109,2,§,§,68.0,1.0,1.0,1.0,9496,23729.227381156972,,14233.227381156972,14233.227381156972
3110,2,ª,§,62.0,0.0,0.0,0.0,497858,9751.019604025187,,488106.9803959748,488106.9803959748
3111,2,§,§,68.0,1.0,1.0,1.0,422936,26058.810033393,,396877.189966607,396877.189966607
3114,2,©,§,69.0,0.0,0.0,0.0,432095,43329.3372089935,,388765.6627910065,388765.6627910065
3115,2,ª,§,68.0,0.0,0.0,0.0,1492131,47135.03606185585,,1444995.963938144,1444995.963938144
3116,2,§,§,70.0,1.0,1.0,1.0,15,32622.580066217488,,32607.580066217488,32607.580066217488
3117,2,§,§,67.0,1.0,1.0,1.0,265,33396.05692212865,,33131.05692212865,33131.05692212865
3119,2,¢,©,89.0,0.0,0.0,0.0,0,13035.906076721743,,13035.906076721743,13035.906076721743
3120,2,§,§,70.0,1.0,1.0,1.0,13,39662.2742076049,,39649.2742076049,39649.2742076049
3122,2,ª,§,67.0,0.0,0.0,0.0,491887,60660.02865438525,,431226.97134561476,431226.97134561476
3123,2,§,§,68.0,1.0,1.0,1.0,19877,36052.18858943971,,16175.188589439713,16175.188589439713
3124,2,§,§,68.0,1.0,1.0,1.0,6364,20060.960654368486,,13696.960654368486,13696.960654368486
3125,2,§,§,69.0,1.0,1.0,1.0,191661,36635.008542130534,,155025.99145786947,155025.99145786947
3127,2,§,§,74.0,1.0,1.0,1.0,1443966,40653.45250215686,,1403312.5474978432,1403312.5474978432
3129,2,§,§,68.0,1.0,1.0,1.0,1821440,30873.667632537752,,1790566.3323674623,1790566.3323674623
3130,2,©,©,90.0,1.0,1.0,1.0,283515,13663.483871239723,,269851.5161287603,269851.5161287603
3131,2,ª,§,67.0,0.0,0.0,0.0,65713,15648.975489289825,,50064.02451071017,50064.02451071017
3132,2,§,§,70.0,1.0,1.0,1.0,84,19858.678215236436,,19774.678215236436,19774.678215236436
3133,2,§,§,68.0,1.0,1.0,1.0,250346,48184.71918230575,,202161.28081769426,202161.28081769426
3134,2,§,§,69.0,1.0,1.0,1.0,256137,24887.219073064392,,231249.7809269356,231249.7809269356
3135,2,£,§,70.0,0.0,0.0,0.0,1910237,14820.978987133614,,1895416.0210128664,1895416.0210128664
3136,2,§,§,74.0,1.0,1.0,1.0,326315,52423.649178112035,,273891.35082188796,273891.35082188796
3137,2,¢,©,84.0,0.0,0.0,0.0,2,26955.660885577257,,26953.660885577257,26953.660885577257
3138,2,ª,§,56.0,0.0,0.0,0.0,237438,54154.172584860324,,183283.82741513968,183283.82741513968
